timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], utilization.gpu [%], clocks.current.memory [MHz], clocks.current.graphics [MHz], utilization.memory [%]
2024/05/07 13:44:35.427, 44, 197.43 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 50 %
2024/05/07 13:44:35.438, 44, 197.82 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 50 %
2024/05/07 13:44:35.451, 44, 197.50 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 50 %
2024/05/07 13:44:35.468, 44, 197.50 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 50 %
2024/05/07 13:44:35.479, 44, 197.40 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 51 %
2024/05/07 13:44:35.492, 44, 197.50 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 51 %
2024/05/07 13:44:35.506, 44, 197.50 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 51 %
2024/05/07 13:44:35.517, 44, 198.16 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 51 %
2024/05/07 13:44:35.530, 45, 198.16 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 51 %
2024/05/07 13:44:35.546, 45, 198.16 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 51 %
2024/05/07 13:44:35.557, 45, 198.35 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 51 %
2024/05/07 13:44:35.570, 45, 198.39 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 51 %
2024/05/07 13:44:35.586, 45, 198.39 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 51 %
2024/05/07 13:44:35.597, 45, 198.29 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 51 %
2024/05/07 13:44:35.610, 45, 197.15 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 51 %
2024/05/07 13:44:35.626, 45, 197.15 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 51 %
2024/05/07 13:44:35.637, 45, 196.74 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 51 %
2024/05/07 13:44:35.650, 45, 196.83 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 54 %
2024/05/07 13:44:35.667, 45, 196.83 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 54 %
2024/05/07 13:44:35.677, 45, 197.02 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 54 %
2024/05/07 13:44:35.690, 45, 197.50 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 54 %
2024/05/07 13:44:35.706, 45, 197.50 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 54 %
2024/05/07 13:44:35.717, 45, 197.69 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 54 %
2024/05/07 13:44:35.730, 45, 197.94 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 54 %
2024/05/07 13:44:35.746, 45, 197.94 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 54 %
2024/05/07 13:44:35.757, 45, 197.63 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 54 %
2024/05/07 13:44:35.770, 45, 198.04 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 54 %
2024/05/07 13:44:35.787, 45, 198.04 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 54 %
2024/05/07 13:44:35.797, 45, 198.16 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 54 %
2024/05/07 13:44:35.810, 45, 198.64 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 54 %
2024/05/07 13:44:35.827, 45, 198.64 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 56 %
2024/05/07 13:44:35.838, 45, 199.10 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 56 %
2024/05/07 13:44:35.850, 45, 198.89 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 56 %
2024/05/07 13:44:35.867, 45, 198.89 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 56 %
2024/05/07 13:44:35.878, 45, 199.08 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 56 %
2024/05/07 13:44:35.890, 45, 196.61 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 56 %
2024/05/07 13:44:35.908, 45, 196.61 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 56 %
2024/05/07 13:44:35.958, 45, 197.12 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 56 %
2024/05/07 13:44:35.971, 45, 195.88 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 56 %
2024/05/07 13:44:35.989, 45, 195.88 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:36.000, 45, 195.53 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:36.012, 45, 195.57 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:36.030, 45, 195.57 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:36.041, 45, 195.34 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:36.054, 45, 195.25 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:36.070, 45, 195.25 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:36.081, 45, 195.15 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:36.094, 45, 194.77 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:36.110, 45, 194.77 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:36.121, 45, 194.58 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:36.134, 45, 194.58 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:36.150, 45, 194.58 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:36.161, 45, 190.96 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:36.174, 45, 193.98 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:36.189, 45, 193.98 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:36.200, 45, 195.06 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:36.213, 45, 195.15 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:36.229, 45, 195.15 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:36.240, 45, 195.50 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:36.253, 45, 195.28 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:36.269, 45, 195.28 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:36.280, 45, 195.50 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:36.293, 45, 195.72 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:36.309, 45, 195.72 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:36.320, 45, 195.69 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.333, 45, 195.88 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.349, 45, 195.88 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.360, 45, 195.56 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.373, 45, 190.36 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.391, 45, 190.36 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.402, 45, 197.18 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.415, 45, 197.65 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.431, 46, 197.65 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.442, 46, 196.48 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.454, 46, 196.10 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.470, 45, 196.10 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.481, 46, 196.39 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.494, 46, 197.12 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.511, 46, 197.12 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.522, 46, 197.50 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.535, 46, 197.37 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.550, 46, 197.37 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.561, 46, 197.37 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.574, 46, 197.56 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.590, 46, 197.56 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.601, 46, 195.75 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.614, 46, 195.63 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.631, 46, 195.63 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.642, 46, 195.44 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.655, 46, 195.34 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 61 %
2024/05/07 13:44:36.671, 46, 195.34 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 61 %
2024/05/07 13:44:36.682, 46, 195.31 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 61 %
2024/05/07 13:44:36.695, 46, 195.22 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 61 %
2024/05/07 13:44:36.711, 46, 195.22 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 61 %
2024/05/07 13:44:36.722, 46, 195.50 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 61 %
2024/05/07 13:44:36.735, 46, 195.34 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 61 %
2024/05/07 13:44:36.750, 46, 195.34 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 61 %
2024/05/07 13:44:36.761, 46, 195.37 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 61 %
2024/05/07 13:44:36.774, 46, 195.31 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 61 %
2024/05/07 13:44:36.790, 46, 195.31 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 61 %
2024/05/07 13:44:36.801, 46, 195.50 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 61 %
2024/05/07 13:44:36.814, 46, 195.59 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 61 %
2024/05/07 13:44:36.831, 46, 195.59 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.841, 46, 195.72 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.854, 46, 195.91 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.871, 46, 195.91 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.881, 46, 193.88 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.894, 46, 196.10 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.912, 46, 196.10 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.923, 46, 196.55 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.936, 46, 195.37 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.952, 46, 195.37 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.963, 46, 195.15 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.976, 46, 195.15 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:36.992, 46, 195.15 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:37.003, 46, 195.34 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:37.016, 46, 195.21 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:37.031, 46, 195.21 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:37.042, 46, 195.12 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:37.055, 46, 195.02 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:37.071, 46, 195.02 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:37.082, 46, 194.55 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:37.095, 46, 194.10 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:37.111, 46, 194.10 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:37.122, 46, 194.07 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:37.135, 46, 194.26 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:37.151, 46, 194.26 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:37.162, 46, 194.36 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 61 %
2024/05/07 13:44:37.175, 46, 194.26 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 61 %
2024/05/07 13:44:37.191, 46, 194.26 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 61 %
2024/05/07 13:44:37.202, 46, 194.26 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 61 %
2024/05/07 13:44:37.215, 46, 193.98 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 61 %
2024/05/07 13:44:37.231, 46, 193.98 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 61 %
2024/05/07 13:44:37.242, 46, 194.29 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 61 %
2024/05/07 13:44:37.255, 46, 194.39 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 61 %
2024/05/07 13:44:37.271, 46, 194.39 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 61 %
2024/05/07 13:44:37.282, 46, 194.10 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 61 %
2024/05/07 13:44:37.295, 46, 194.20 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 61 %
2024/05/07 13:44:37.312, 46, 194.20 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 61 %
2024/05/07 13:44:37.323, 46, 194.26 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:37.336, 46, 194.26 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:37.352, 46, 194.26 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:37.362, 46, 189.82 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:37.375, 46, 191.22 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:37.393, 46, 191.22 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:37.404, 46, 197.40 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:37.417, 46, 198.04 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:37.432, 46, 198.04 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:37.443, 46, 197.56 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:37.456, 46, 197.94 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:37.472, 46, 197.94 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:37.483, 46, 200.03 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 60 %
2024/05/07 13:44:37.496, 46, 200.51 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 52 %
2024/05/07 13:44:37.514, 46, 200.51 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 52 %
2024/05/07 13:44:37.525, 46, 201.08 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 52 %
2024/05/07 13:44:37.538, 46, 201.52 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 52 %
2024/05/07 13:44:37.552, 46, 201.52 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 52 %
2024/05/07 13:44:37.563, 46, 201.65 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 52 %
2024/05/07 13:44:37.576, 46, 200.41 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 52 %
2024/05/07 13:44:37.593, 46, 200.41 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 52 %
2024/05/07 13:44:37.604, 46, 199.56 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 52 %
2024/05/07 13:44:37.617, 46, 199.62 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 52 %
2024/05/07 13:44:37.633, 46, 199.62 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 52 %
2024/05/07 13:44:37.644, 46, 199.65 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 52 %
2024/05/07 13:44:37.657, 46, 199.78 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 54 %
2024/05/07 13:44:37.673, 46, 199.78 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 54 %
2024/05/07 13:44:37.684, 46, 199.75 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 54 %
2024/05/07 13:44:37.697, 47, 199.75 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 54 %
2024/05/07 13:44:37.712, 46, 199.75 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 54 %
2024/05/07 13:44:37.803, 47, 200.99 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 54 %
2024/05/07 13:44:37.816, 47, 200.92 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 54 %
2024/05/07 13:44:37.829, 47, 200.99 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 54 %
2024/05/07 13:44:37.845, 47, 200.99 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 56 %
2024/05/07 13:44:37.855, 47, 199.21 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 56 %
2024/05/07 13:44:37.868, 47, 197.78 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 56 %
2024/05/07 13:44:37.886, 47, 197.78 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 56 %
2024/05/07 13:44:37.897, 47, 198.70 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 56 %
2024/05/07 13:44:37.909, 47, 198.23 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 56 %
2024/05/07 13:44:37.926, 47, 198.23 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 56 %
2024/05/07 13:44:37.937, 47, 197.46 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 56 %
2024/05/07 13:44:37.950, 47, 197.18 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 56 %
2024/05/07 13:44:37.965, 47, 197.18 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 56 %
2024/05/07 13:44:37.975, 47, 197.46 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 56 %
2024/05/07 13:44:37.988, 47, 197.56 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 56 %
2024/05/07 13:44:38.005, 47, 197.56 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:38.016, 47, 197.46 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:38.028, 47, 197.37 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:38.045, 47, 197.37 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:38.056, 47, 197.40 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:38.069, 47, 196.39 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:38.085, 47, 196.39 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:38.096, 47, 195.50 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:38.109, 47, 195.50 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:38.126, 47, 195.50 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:38.137, 47, 195.50 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:38.150, 47, 195.78 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:38.165, 47, 195.78 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:38.176, 47, 196.23 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 57 %
2024/05/07 13:44:38.189, 47, 196.35 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 57 %
2024/05/07 13:44:38.206, 47, 196.35 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 57 %
2024/05/07 13:44:38.217, 47, 196.45 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 57 %
2024/05/07 13:44:38.230, 47, 196.35 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 57 %
2024/05/07 13:44:38.245, 47, 196.35 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 57 %
2024/05/07 13:44:38.256, 47, 196.48 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 57 %
2024/05/07 13:44:38.269, 47, 196.96 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 57 %
2024/05/07 13:44:38.285, 47, 196.96 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 57 %
2024/05/07 13:44:38.296, 47, 197.18 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 57 %
2024/05/07 13:44:38.309, 47, 197.12 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 57 %
2024/05/07 13:44:38.325, 47, 197.12 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 57 %
2024/05/07 13:44:38.336, 47, 197.08 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 59 %
2024/05/07 13:44:38.349, 47, 192.26 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 59 %
2024/05/07 13:44:38.365, 47, 192.26 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 59 %
2024/05/07 13:44:38.376, 47, 196.70 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 59 %
2024/05/07 13:44:38.389, 47, 197.18 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 59 %
2024/05/07 13:44:38.407, 47, 197.18 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 59 %
2024/05/07 13:44:38.417, 47, 196.13 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 59 %
2024/05/07 13:44:38.430, 47, 196.16 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 59 %
2024/05/07 13:44:38.447, 47, 196.16 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 59 %
2024/05/07 13:44:38.458, 47, 196.16 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 59 %
2024/05/07 13:44:38.471, 47, 196.20 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 59 %
2024/05/07 13:44:38.487, 47, 196.20 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 59 %
2024/05/07 13:44:38.498, 47, 196.48 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 59 %
2024/05/07 13:44:38.511, 47, 196.48 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:38.527, 47, 196.48 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:38.538, 47, 196.55 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:38.551, 47, 196.74 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:38.566, 47, 196.74 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:38.577, 47, 196.42 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:38.590, 47, 196.23 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:38.607, 47, 196.23 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:38.618, 47, 196.23 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:38.631, 47, 196.20 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:38.646, 47, 196.20 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:38.657, 47, 196.29 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 58 %
2024/05/07 13:44:38.670, 47, 196.10 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 59 %
2024/05/07 13:44:38.687, 47, 196.10 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 59 %
2024/05/07 13:44:38.698, 47, 196.10 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 59 %
2024/05/07 13:44:38.711, 47, 195.72 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 59 %
2024/05/07 13:44:38.727, 47, 195.72 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 59 %
2024/05/07 13:44:38.738, 47, 195.72 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 59 %
