timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], utilization.gpu [%], clocks.current.memory [MHz], fan.speed [%], clocks.current.graphics [MHz]
2024/05/07 06:33:59.791, 33, 10.03 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:59.895, 34, 4.97 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:59.899, 33, 8.10 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:59.903, 34, 7.66 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:59.907, 33, 9.72 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.011, 34, 5.13 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.015, 33, 7.81 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.019, 34, 7.43 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.022, 33, 9.55 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.131, 34, 5.08 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.135, 33, 8.18 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.138, 33, 7.73 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.142, 33, 10.41 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.246, 34, 5.24 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.249, 33, 8.07 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.253, 34, 7.45 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.256, 33, 9.75 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.360, 34, 4.88 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.363, 33, 8.26 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.367, 33, 7.78 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.371, 33, 10.05 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.474, 34, 4.96 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.478, 33, 7.99 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.481, 34, 7.84 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.485, 33, 9.84 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.589, 34, 5.05 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.592, 33, 8.19 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.596, 34, 7.48 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.600, 33, 10.23 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.703, 34, 5.34 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.707, 33, 8.01 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.710, 34, 7.58 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.714, 33, 9.80 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.818, 34, 5.17 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.821, 33, 8.10 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.825, 34, 7.46 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:34:00.829, 33, 9.34 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
