timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], utilization.gpu [%], clocks.current.memory [MHz], fan.speed [%], clocks.current.graphics [MHz]
2024/05/07 07:18:18.549, 41, 44.56 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:18.552, 39, 41.00 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:18.554, 41, 51.22 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:18.557, 40, 38.92 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:18.661, 41, 44.75 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:18.663, 39, 41.09 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:18.666, 41, 51.25 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:18.668, 40, 38.96 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:18.773, 41, 44.56 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:18.776, 39, 41.01 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:18.779, 41, 51.23 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:18.782, 40, 38.92 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:18.885, 41, 44.23 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:18.888, 39, 41.15 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:18.891, 41, 51.26 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:18.894, 40, 38.99 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:18.996, 41, 44.30 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:18.999, 39, 41.12 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:19.003, 41, 51.30 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:19.006, 40, 38.99 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:19.109, 41, 44.31 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:19.111, 39, 40.99 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:19.114, 41, 51.25 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:19.116, 40, 38.98 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:19.219, 41, 44.24 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:19.225, 39, 41.03 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:19.227, 41, 51.47 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:19.230, 40, 38.97 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:19.332, 41, 44.36 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:19.335, 39, 40.94 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:19.337, 41, 51.48 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:19.340, 40, 38.87 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:19.443, 41, 44.25 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 07:18:19.446, 39, 41.10 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
