timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], utilization.gpu [%], clocks.current.memory [MHz], fan.speed [%], clocks.current.graphics [MHz]
2024/05/07 05:28:48.567, 34, 4.82 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:48.571, 33, 7.90 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:48.575, 33, 7.01 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:48.579, 33, 9.80 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:48.683, 34, 4.98 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:48.687, 33, 8.35 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:48.690, 33, 7.15 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:48.694, 33, 9.99 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:48.797, 34, 4.71 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:48.801, 33, 8.08 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:48.805, 33, 7.41 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:48.808, 33, 9.99 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:48.912, 34, 4.83 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:48.915, 33, 8.20 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:48.919, 34, 7.38 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:48.922, 33, 9.79 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.026, 34, 4.65 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.031, 33, 8.13 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.034, 34, 7.33 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.038, 33, 10.20 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.142, 34, 4.60 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.145, 33, 7.87 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.149, 33, 7.28 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.152, 33, 9.81 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.256, 34, 4.91 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.260, 33, 8.20 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.263, 34, 7.26 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.267, 33, 10.10 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.371, 34, 4.66 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.374, 33, 8.18 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.378, 34, 7.39 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.386, 33, 9.93 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.489, 34, 5.03 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.493, 33, 8.41 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.497, 34, 7.21 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.500, 33, 10.12 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.604, 34, 4.74 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.608, 33, 8.02 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.611, 34, 7.35 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.615, 33, 9.98 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.719, 34, 4.59 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.722, 33, 8.23 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.726, 34, 7.41 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.730, 33, 10.09 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.833, 34, 4.62 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.837, 33, 8.07 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.841, 33, 7.30 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.845, 33, 10.42 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.948, 34, 4.62 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.953, 33, 7.95 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.957, 34, 7.34 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:49.961, 33, 9.96 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 05:28:50.064, 34, 4.78 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
