timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], utilization.gpu [%], clocks.current.memory [MHz], fan.speed [%], clocks.current.graphics [MHz]
2024/05/07 15:40:29.530, 49, 47.26 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:29.534, 44, 41.90 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:29.536, 46, 51.45 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:29.539, 45, 40.15 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:29.642, 49, 47.39 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:29.644, 44, 41.62 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:29.647, 46, 51.45 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:29.649, 45, 40.11 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:29.752, 49, 47.28 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:29.755, 44, 41.63 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:29.757, 46, 51.50 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:29.760, 45, 40.10 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:29.864, 49, 47.44 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:29.868, 44, 41.88 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:29.871, 46, 51.42 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:29.874, 45, 40.15 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:29.978, 49, 47.40 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:29.980, 44, 41.73 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:29.983, 46, 51.39 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
