sgemm,4.088501,0,10,0,0,0,1
resnet,8.542807,0.00221,9.596112696,0,0,1.2160505,1.01503325
bert,7.3020275,0.0000376,3.61267233,0.341874,1.205297,2.54206875,1.837867
pagerank,1.000573,0,1,0,0,0.003398,0
