timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], utilization.gpu [%], clocks.current.memory [MHz], clocks.current.graphics [MHz]
2024/05/07 21:13:20.877, 38, 8.08 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:20.880, 39, 7.54 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:20.883, 38, 9.63 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:20.987, 59, 57.63 W, 1905 MHz, 5 %, 7000 MHz, 1905 MHz
2024/05/07 21:13:20.992, 38, 8.33 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:20.995, 39, 7.85 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:20.999, 38, 9.77 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:21.102, 59, 57.42 W, 1905 MHz, 5 %, 7000 MHz, 1905 MHz
2024/05/07 21:13:21.105, 38, 8.35 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:21.108, 39, 7.60 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:21.111, 38, 9.67 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:21.215, 59, 57.45 W, 1905 MHz, 0 %, 7000 MHz, 1905 MHz
2024/05/07 21:13:21.217, 38, 8.37 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:21.221, 39, 7.36 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:21.224, 38, 9.86 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:21.327, 59, 57.19 W, 1905 MHz, 0 %, 7000 MHz, 1905 MHz
2024/05/07 21:13:21.332, 38, 8.25 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:21.336, 39, 7.65 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:21.340, 38, 9.86 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:21.443, 59, 57.23 W, 1905 MHz, 0 %, 7000 MHz, 1905 MHz
2024/05/07 21:13:21.446, 38, 8.45 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:21.449, 39, 7.57 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:21.452, 38, 9.93 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:21.556, 59, 57.21 W, 1905 MHz, 0 %, 7000 MHz, 1905 MHz
2024/05/07 21:13:21.558, 38, 8.20 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:21.562, 39, 7.66 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:21.565, 38, 9.89 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:21.669, 58, 57.07 W, 1905 MHz, 0 %, 7000 MHz, 1905 MHz
2024/05/07 21:13:21.675, 38, 8.01 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:21.678, 39, 7.60 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:21.681, 38, 9.86 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:21.786, 58, 57.28 W, 1905 MHz, 0 %, 7000 MHz, 1905 MHz
2024/05/07 21:13:21.789, 38, 8.22 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:21.793, 39, 7.56 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:21.796, 38, 9.98 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:21.900, 58, 57.09 W, 1905 MHz, 0 %, 7000 MHz, 1905 MHz
2024/05/07 21:13:21.902, 38, 8.15 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:21.906, 39, 7.58 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:21.909, 38, 9.99 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:22.012, 58, 57.08 W, 1905 MHz, 0 %, 7000 MHz, 1905 MHz
2024/05/07 21:13:22.016, 38, 8.27 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:22.019, 39, 7.34 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:22.022, 38, 9.95 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:22.126, 58, 57.12 W, 1905 MHz, 0 %, 7000 MHz, 1905 MHz
2024/05/07 21:13:22.128, 38, 8.33 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:22.132, 39, 7.44 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:22.136, 38, 9.81 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:22.239, 58, 57.15 W, 1905 MHz, 0 %, 7000 MHz, 1905 MHz
2024/05/07 21:13:22.241, 38, 8.34 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:22.245, 39, 7.73 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:22.248, 38, 9.98 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:22.352, 58, 57.02 W, 1905 MHz, 0 %, 7000 MHz, 1905 MHz
2024/05/07 21:13:22.357, 38, 8.28 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:22.360, 39, 7.60 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:22.363, 38, 9.93 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:22.468, 58, 56.95 W, 1905 MHz, 0 %, 7000 MHz, 1905 MHz
2024/05/07 21:13:22.471, 38, 8.46 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:22.475, 39, 7.64 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:22.479, 38, 9.81 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:22.582, 58, 57.05 W, 1905 MHz, 0 %, 7000 MHz, 1905 MHz
2024/05/07 21:13:22.584, 38, 8.18 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:22.588, 39, 7.64 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:22.591, 38, 10.33 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:22.695, 56, 37.80 W, 525 MHz, 0 %, 5000 MHz, 525 MHz
2024/05/07 21:13:22.699, 38, 8.23 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:22.702, 39, 7.64 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:22.706, 38, 9.97 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:22.809, 56, 29.95 W, 375 MHz, 0 %, 5000 MHz, 525 MHz
2024/05/07 21:13:22.874, 38, 8.06 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:22.879, 39, 7.44 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:22.882, 38, 9.97 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:22.986, 55, 29.93 W, 375 MHz, 0 %, 5000 MHz, 375 MHz
2024/05/07 21:13:22.988, 38, 8.17 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:22.992, 39, 7.74 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:22.996, 38, 10.00 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:23.099, 54, 20.01 W, 375 MHz, 0 %, 810 MHz, 375 MHz
2024/05/07 21:13:23.103, 38, 8.29 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:23.106, 39, 7.51 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:23.110, 38, 9.91 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:23.213, 53, 7.32 W, 375 MHz, 0 %, 810 MHz, 375 MHz
2024/05/07 21:13:23.217, 38, 8.25 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:23.220, 39, 7.52 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:23.224, 38, 10.07 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:23.328, 53, 6.54 W, 375 MHz, 0 %, 810 MHz, 375 MHz
2024/05/07 21:13:23.331, 38, 8.22 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:23.335, 39, 7.44 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:23.338, 38, 10.00 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:23.442, 53, 6.53 W, 375 MHz, 0 %, 810 MHz, 375 MHz
2024/05/07 21:13:23.445, 38, 8.35 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:23.448, 39, 7.58 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:23.452, 38, 10.06 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:23.555, 53, 6.45 W, 375 MHz, 0 %, 810 MHz, 375 MHz
2024/05/07 21:13:23.559, 38, 8.28 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:23.562, 39, 7.48 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:23.566, 38, 9.87 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:23.669, 52, 6.53 W, 375 MHz, 0 %, 810 MHz, 375 MHz
2024/05/07 21:13:23.673, 38, 8.23 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:23.676, 39, 7.57 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:23.679, 38, 10.00 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:23.783, 52, 6.68 W, 375 MHz, 0 %, 810 MHz, 375 MHz
2024/05/07 21:13:23.788, 38, 8.27 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:23.792, 39, 7.63 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:23.796, 38, 10.01 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:23.900, 53, 11.06 W, 375 MHz, 0 %, 810 MHz, 375 MHz
2024/05/07 21:13:23.903, 38, 8.37 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:23.907, 39, 8.22 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:23.910, 38, 10.58 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:24.013, 52, 6.70 W, 375 MHz, 0 %, 810 MHz, 375 MHz
2024/05/07 21:13:24.017, 38, 8.25 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:24.020, 39, 7.80 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:24.023, 38, 10.03 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:24.127, 52, 6.75 W, 375 MHz, 0 %, 810 MHz, 375 MHz
2024/05/07 21:13:24.130, 38, 8.44 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:24.133, 39, 7.45 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:24.137, 38, 9.98 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:24.240, 52, 6.65 W, 375 MHz, 0 %, 810 MHz, 375 MHz
2024/05/07 21:13:24.243, 38, 8.35 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:24.247, 39, 7.67 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:24.250, 38, 9.58 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:24.354, 52, 6.79 W, 375 MHz, 0 %, 810 MHz, 375 MHz
2024/05/07 21:13:24.357, 38, 8.46 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:24.360, 39, 7.61 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:24.364, 38, 9.91 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:24.467, 52, 6.60 W, 375 MHz, 0 %, 810 MHz, 375 MHz
2024/05/07 21:13:24.470, 38, 8.43 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:24.474, 39, 7.57 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:24.477, 38, 9.69 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:24.580, 52, 6.57 W, 375 MHz, 0 %, 810 MHz, 375 MHz
2024/05/07 21:13:24.584, 38, 8.07 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:24.587, 39, 7.72 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:24.590, 38, 10.17 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:24.694, 52, 8.01 W, 300 MHz, 0 %, 810 MHz, 300 MHz
2024/05/07 21:13:24.697, 38, 8.40 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:24.700, 39, 7.57 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:24.704, 38, 9.97 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:24.807, 52, 6.72 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:24.825, 38, 8.27 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:24.828, 39, 7.39 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:24.831, 38, 9.99 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:24.935, 52, 7.97 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:24.938, 38, 8.36 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:24.941, 39, 7.90 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:24.944, 38, 10.02 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.048, 52, 6.08 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.051, 38, 8.25 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.055, 39, 7.62 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.058, 38, 9.83 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.161, 51, 6.19 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.165, 38, 8.42 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.168, 39, 7.74 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.171, 38, 9.72 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.275, 51, 6.26 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.278, 38, 8.25 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.282, 39, 7.59 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.285, 38, 9.62 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.388, 51, 5.91 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.392, 38, 8.20 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.395, 39, 7.71 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.398, 38, 9.98 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.502, 51, 6.13 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.505, 38, 8.36 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.508, 39, 7.56 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.511, 38, 9.90 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.615, 51, 6.03 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.618, 38, 8.22 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.621, 39, 7.76 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.625, 38, 10.11 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.728, 51, 6.14 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.732, 38, 8.36 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.735, 39, 7.59 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.738, 38, 9.83 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.842, 51, 6.11 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.845, 38, 8.11 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.848, 39, 7.57 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.853, 38, 10.09 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.956, 51, 6.44 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.959, 38, 8.36 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.963, 39, 7.82 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:25.966, 38, 9.77 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.069, 51, 5.95 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.073, 38, 8.09 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.077, 39, 7.53 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.080, 38, 9.57 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.183, 51, 6.10 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.188, 38, 7.93 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.191, 39, 7.76 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.195, 38, 9.86 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.298, 51, 6.11 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.301, 38, 8.44 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.305, 39, 7.74 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.308, 38, 9.71 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.411, 51, 5.97 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.415, 38, 8.32 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.418, 39, 7.72 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.421, 38, 9.95 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.525, 51, 6.24 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.528, 38, 8.41 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.532, 39, 7.60 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.535, 38, 9.80 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.638, 51, 5.99 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.642, 38, 8.25 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.645, 39, 7.44 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.648, 38, 10.06 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.752, 51, 6.26 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.755, 38, 8.47 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.759, 39, 7.75 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.762, 38, 9.76 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.865, 51, 5.90 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.869, 38, 8.18 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.872, 39, 7.63 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.875, 38, 10.02 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.979, 51, 6.53 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.982, 38, 8.50 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.986, 39, 8.05 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:26.989, 38, 9.63 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.092, 51, 6.07 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.096, 38, 8.37 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.099, 39, 7.50 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.102, 38, 9.73 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.206, 50, 6.13 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.274, 38, 8.24 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.278, 39, 7.28 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.281, 38, 9.82 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.385, 50, 9.76 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.388, 38, 8.50 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.393, 39, 7.71 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.396, 38, 9.84 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.500, 50, 6.09 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.503, 38, 8.39 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.507, 39, 7.42 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.510, 38, 9.87 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.613, 50, 5.87 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.617, 38, 8.39 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.620, 39, 7.72 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.624, 38, 10.19 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.727, 50, 6.08 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.731, 38, 8.57 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.734, 39, 7.39 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.738, 38, 9.79 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.842, 50, 5.89 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.845, 38, 8.16 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.849, 39, 7.35 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.853, 38, 10.08 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.956, 50, 5.95 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.960, 38, 8.48 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.963, 39, 7.97 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:27.966, 38, 9.93 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:28.070, 50, 5.74 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:28.074, 38, 8.18 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:28.078, 39, 7.51 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:28.082, 38, 10.04 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:28.186, 50, 6.03 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:28.190, 38, 8.57 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:28.195, 39, 7.76 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:28.198, 38, 9.95 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:28.301, 50, 6.27 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:28.305, 38, 8.29 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:28.308, 39, 7.49 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:28.311, 38, 9.86 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:28.415, 50, 5.76 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:28.418, 38, 8.43 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:28.421, 39, 7.69 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:28.425, 38, 10.12 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:28.528, 50, 5.92 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:28.532, 38, 8.42 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:28.535, 39, 7.49 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:28.538, 38, 9.90 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:28.642, 50, 5.89 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:28.645, 38, 8.39 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:28.649, 39, 7.30 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:28.652, 38, 10.35 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:13:28.755, 50, 5.94 W, 300 MHz, 0 %, 405 MHz, 300 MHz
